name,city,country,x,y,elevation,iata,icao
Goroka Airport,Goroka,Papua New Guinea,145.391998291,-6.081689834590001,5282,GKA,AYGA
Madang Airport,Madang,Papua New Guinea,145.789001465,-5.20707988739,20,MAG,AYMD
Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,144.29600524902344,-5.826789855957031,5388,HGU,AYMH
Nadzab Airport,Nadzab,Papua New Guinea,146.725977,-6.569803,239,LAE,AYNZ
Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,147.22000122070312,-9.443380355834961,146,POM,AYPY
Wewak International Airport,Wewak,Papua New Guinea,143.669006348,-3.58383011818,19,WWK,AYWK
Narsarsuaq Airport,Narssarssuaq,Greenland,-45.4259986877,61.1604995728,112,UAK,BGBW
Godthaab / Nuuk Airport,Godthaab,Greenland,-51.6781005859,64.19090271,283,GOH,BGGH
Kangerlussuaq Airport,Sondrestrom,Greenland,-50.7116031647,67.0122218992,165,SFJ,BGSF
Thule Air Base,Thule,Greenland,-68.7032012939,76.5311965942,251,THU,BGTL
Akureyri Airport,Akureyri,Iceland,-18.07270050048828,65.66000366210938,6,AEY,BIAR
Egilsstaðir Airport,Egilsstadir,Iceland,-14.401399612426758,65.2833023071289,76,EGS,BIEG
Hornafjörður Airport,Hofn,Iceland,-15.2272,64.295601,24,HFN,BIHN
Húsavík Airport,Husavik,Iceland,-17.426001,65.952301,48,HZK,BIHU
Ísafjörður Airport,Isafjordur,Iceland,-23.135299682617188,66.05809783935547,8,IFJ,BIIS
Patreksfjörður Airport,Patreksfjordur,Iceland,-23.965,65.555801,11,PFJ,BIPA
Reykjavik Airport,Reykjavik,Iceland,-21.9405994415,64.1299972534,48,RKV,BIRK
Siglufjörður Airport,Siglufjordur,Iceland,-18.9167,66.133301,10,SIJ,BISI
Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,-20.278900146484375,63.42430114746094,326,VEY,BIVM
Winnipeg / St. Andrews Airport,Winnipeg,Canada,-97.03250122070001,50.0564002991,760,YAV,CYAV
Halifax / CFB Shearwater Heliport,Halifax,Canada,-63.499401092499994,44.6397018433,144,YAW,CYAW
St. Anthony Airport,St. Anthony,Canada,-56.083099365200006,51.3918991089,108,YAY,CYAY
Tofino / Long Beach Airport,Tofino,Canada,-125.775583,49.079833,80,YAZ,CYAZ
Kugaaruk Airport,Pelly Bay,Canada,-89.808098,68.534401,56,YBB,CYBB
Baie Comeau Airport,Baie Comeau,Canada,-68.20439910888672,49.13249969482422,71,YBC,CYBC
CFB Bagotville,Bagotville,Canada,-70.99639892578125,48.33060073852539,522,YBG,CYBG
Baker Lake Airport,Baker Lake,Canada,-96.077796936,64.29889678960001,59,YBK,CYBK
Campbell River Airport,Campbell River,Canada,-125.27100372314453,49.950801849365234,346,YBL,CYBL
Brandon Municipal Airport,Brandon,Canada,-99.951897,49.91,1343,YBR,CYBR
Cambridge Bay Airport,Cambridge Bay,Canada,-105.138000488,69.1081008911,90,YCB,CYCB
Nanaimo Airport,Nanaimo,Canada,-123.869862556,49.054970224899996,92,YCD,CYCD
Castlegar/West Kootenay Regional Airport,Castlegar,Canada,-117.632003784,49.2963981628,1624,YCG,CYCG
Miramichi Airport,Chatham,Canada,-65.449203,47.007801,108,YCH,CYCH
Charlo Airport,Charlo,Canada,-66.330299,47.990799,132,YCL,CYCL
Kugluktuk Airport,Coppermine,Canada,-115.143997192,67.81670379639999,74,YCO,CYCO
Coronation Airport,Coronation,Canada,-111.444999695,52.0750007629,2595,YCT,CYCT
Chilliwack Airport,Chilliwack,Canada,-121.939002991,49.1528015137,32,YCW,CYCW
Clyde River Airport,Clyde River,Canada,-68.5167007446,70.4860992432,87,YCY,CYCY
Coral Harbour Airport,Coral Harbour,Canada,-83.3593978882,64.1932983398,210,YZS,CYZS
Dawson City Airport,Dawson,Canada,-139.1280059814453,64.04309844970703,1215,YDA,CYDA
Burwash Airport,Burwash,Canada,-139.04100036621094,61.37110137939453,2647,YDB,CYDB
Princeton Airport,Princeton,Canada,-120.511001587,49.4681015015,2298,YDC,CYDC
