player_name,birthday,height,weight
Aaron Appindangoye,1992-02-29 00:00:00,182.88,187
Aaron Cresswell,1989-12-15 00:00:00,170.18,146
Aaron Doran,1991-05-13 00:00:00,170.18,163
Aaron Galindo,1982-05-08 00:00:00,182.88,198
Aaron Hughes,1979-11-08 00:00:00,182.88,154
Aaron Hunt,1986-09-04 00:00:00,182.88,161
Aaron Kuhl,1996-01-30 00:00:00,172.72,146
Aaron Lennon,1987-04-16 00:00:00,165.1,139
Aaron Lennox,1993-02-19 00:00:00,190.5,181
Aaron Meijers,1987-10-28 00:00:00,175.26,170
Aaron Mokoena,1980-11-25 00:00:00,182.88,181
Aaron Mooy,1990-09-15 00:00:00,175.26,150
Aaron Muirhead,1990-08-30 00:00:00,187.96,168
Aaron Niguez,1989-04-26 00:00:00,170.18,143
Aaron Ramsey,1990-12-26 00:00:00,177.8,154
Aaron Splaine,1996-10-13 00:00:00,172.72,163
Aaron Taylor-Sinclair,1991-04-08 00:00:00,182.88,176
Aaron Wilbraham,1979-10-21 00:00:00,190.5,159
Aatif Chahechouhe,1986-07-02 00:00:00,175.26,150
Abasse Ba,1976-07-12 00:00:00,187.96,185
Abdelaziz Barrada,1989-06-19 00:00:00,177.8,161
Abdelfettah Boukhriss,1986-10-22 00:00:00,185.42,161
Abdelhamid El Kaoutari,1990-03-17 00:00:00,180.34,161
Abdelkader Ghezzal,1984-12-05 00:00:00,182.88,172
Abdellah Zoubir,1991-12-05 00:00:00,180.34,161
Abdelmajid Oulmers,1978-09-12 00:00:00,172.72,143
Abdelmalek Cherrad,1981-01-14 00:00:00,185.42,165
Abdelmalek El Hasnaoui,1994-02-09 00:00:00,180.34,159
Abdelouahed Chakhsi,1986-10-01 00:00:00,182.88,170
Abderrazak Jadid,1983-06-01 00:00:00,177.8,157
Abdeslam Ouaddou,1978-11-01 00:00:00,190.5,181
Abdessalam Benjelloun,1985-01-28 00:00:00,187.96,179
Abdou Diallo,1996-05-04 00:00:00,182.88,159
