team_long_name,team_short_name
KRC Genk,GEN
Beerschot AC,BAC
SV Zulte-Waregem,ZUL
Sporting Lokeren,LOK
KSV Cercle Brugge,CEB
RSC Anderlecht,AND
KAA Gent,GEN
RAEC Mons,MON
FCV Dender EH,DEN
Standard de Liège,STL
KV Mechelen,MEC
Club Brugge KV,CLB
KSV Roeselare,ROS
KV Kortrijk,KOR
Tubize,TUB
Royal Excel Mouscron,MOU
KVC Westerlo,WES
Sporting Charleroi,CHA
Sint-Truidense VV,STT
Lierse SK,LIE
KAS Eupen,EUP
Oud-Heverlee Leuven,O-H
Waasland-Beveren,WAA
KV Oostende,OOS
Royal Excel Mouscron,MOP
Manchester United,MUN
Newcastle United,NEW
Arsenal,ARS
West Bromwich Albion,WBA
Sunderland,SUN
Liverpool,LIV
West Ham United,WHU
Wigan Athletic,WIG
Aston Villa,AVL
Manchester City,MCI
Everton,EVE
Blackburn Rovers,BLB
Middlesbrough,MID
Tottenham Hotspur,TOT
Bolton Wanderers,BOL
Stoke City,STK
Hull City,HUL
Fulham,FUL
Chelsea,CHE
Portsmouth,POR
Birmingham City,BIR
Wolverhampton Wanderers,WOL
Burnley,BUR
Blackpool,BLA
Swansea City,SWA
Queens Park Rangers,QPR
Norwich City,NOR
Southampton,SOU
Reading,REA
Crystal Palace,CRY
Cardiff City,CAR
Leicester City,LEI
Bournemouth,BOU
Watford,WAT
AJ Auxerre,AUX
FC Nantes,NAN
Girondins de Bordeaux,BOR
SM Caen,CAE
Le Havre AC,LEH
OGC Nice,NIC
Le Mans FC,LEM
FC Lorient,LOR
Olympique Lyonnais,LYO
Toulouse FC,TOU
AS Monaco,MON
Paris Saint-Germain,PSG
AS Nancy-Lorraine,NAN
LOSC Lille,LIL
Stade Rennais FC,REN
Olympique de Marseille,MAR
FC Sochaux-Montbéliard,SOC
Grenoble Foot 38,GRE
Valenciennes FC,VAL
AS Saint-Étienne,ETI
RC Lens,LEN
Montpellier Hérault SC,MON
US Boulogne Cote D'Opale,BOU
AC Arles-Avignon,ARL
Stade Brestois 29,BRE
AC Ajaccio,AJA
Évian Thonon Gaillard FC,ETG
Dijon FCO,DIJ
Stade de Reims,REI
SC Bastia,BAS
ES Troyes AC,TRO
En Avant de Guingamp,GUI
FC Metz,MET
Angers SCO,ANG
GFC Ajaccio,GAJ
FC Bayern Munich,BMU
Hamburger SV,HAM
Bayer 04 Leverkusen,LEV
Borussia Dortmund,DOR
FC Schalke 04,S04
Hannover 96,HAN
