title,artist_name
For Those About To Rock We Salute You,AC/DC
Balls to the Wall,Accept
Restless and Wild,Accept
Let There Be Rock,AC/DC
Big Ones,Aerosmith
Jagged Little Pill,Alanis Morissette
Facelift,Alice In Chains
Warner 25 Anos,Antônio Carlos Jobim
Plays Metallica By Four Cellos,Apocalyptica
Audioslave,Audioslave
Out Of Exile,Audioslave
BackBeat Soundtrack,BackBeat
The Best Of Billy Cobham,Billy Cobham
Alcohol Fueled Brewtality Live! [Disc 1],Black Label Society
Alcohol Fueled Brewtality Live! [Disc 2],Black Label Society
Black Sabbath,Black Sabbath
Black Sabbath Vol. 4 (Remaster),Black Sabbath
Body Count,Body Count
Chemical Wedding,Bruce Dickinson
The Best Of Buddy Guy - The Millenium Collection,Buddy Guy
Prenda Minha,Caetano Veloso
Sozinho Remix Ao Vivo,Caetano Veloso
Minha Historia,Chico Buarque
Afrociberdelia,Chico Science & Nação Zumbi
Da Lama Ao Caos,Chico Science & Nação Zumbi
Acústico MTV live,Cidade Negra
Cidade Negra - Hits,Cidade Negra
Na Pista,Cláudio Zoli
Axé Bahia 2001,Various Artists
BBC Sessions [Disc 1] live,Led Zeppelin
Carnaval 2001,Various Artists
Chill: Brazil (Disc 1),Marcos Valle
Chill: Brazil (Disc 2),Antônio Carlos Jobim
Garage Inc. (Disc 1),Metallica
Greatest Hits II,Queen
Greatest Kiss,Kiss
Heart of the Night,Spyro Gyra
International Superhits,Green Day
Into The Light,David Coverdale
Meus Momentos,Gonzaguinha
Minha História,Os Mutantes
MK III The Final Concerts [Disc 1],Deep Purple
Physical Graffiti [Disc 1],Led Zeppelin
Sambas De Enredo 2001,Various Artists
Supernatural,Santana
The Best of Ed Motta,Ed Motta
The Essential Miles Davis [Disc 1],Miles Davis
The Essential Miles Davis [Disc 2],Miles Davis
The Final Concerts (Disc 2),Deep Purple
Up An' Atom,Gene Krupa
Vinícius De Moraes - Sem Limite,Toquinho & Vinícius
"Chronicle, Vol. 1",Creedence Clearwater Revival
"Chronicle, Vol. 2",Creedence Clearwater Revival
Cássia Eller - Coleção Sem Limite [Disc 2],Cássia Eller
Cássia Eller - Sem Limite [Disc 1],Cássia Eller
Come Taste The Band,Deep Purple
Deep Purple In Rock,Deep Purple
Fireball,Deep Purple
Knocking at Your Back Door: The Best Of Deep Purple in the 80's,Deep Purple
Machine Head,Deep Purple
Purpendicular,Deep Purple
Slaves And Masters,Deep Purple
Stormbringer,Deep Purple
The Battle Rages On,Deep Purple
Vault: Def Leppard's Greatest Hits,Def Leppard
Outbreak,Dennis Chambers
Djavan Ao Vivo - Vol. 02,Djavan
Djavan Ao Vivo - Vol. 1,Djavan
Elis Regina-Minha História,Elis Regina
The Cream Of Clapton,Eric Clapton
Unplugged,Eric Clapton
Album Of The Year,Faith No More
Angel Dust,Faith No More
King For A Day Fool For A Lifetime,Faith No More
The Real Thing,Faith No More
Deixa Entrar,Falamansa
In Your Honor [Disc 1],Foo Fighters
In Your Honor [Disc 2],Foo Fighters
One By One,Foo Fighters
The Colour And The Shape,Foo Fighters
My Way: The Best Of Frank Sinatra [Disc 1],Frank Sinatra
Roda De Funk,Funk Como Le Gusta
As Canções de Eu Tu Eles,Gilberto Gil
Quanta Gente Veio Ver (Live),Gilberto Gil
Quanta Gente Veio ver--Bônus De Carnaval,Gilberto Gil
Faceless,Godsmack
American Idiot,Green Day
Appetite for Destruction,Guns N' Roses
Use Your Illusion I,Guns N' Roses
Use Your Illusion II,Guns N' Roses
Blue Moods,Incognito
A Matter of Life and Death,Iron Maiden
A Real Dead One,Iron Maiden
A Real Live One,Iron Maiden
Brave New World,Iron Maiden
Dance Of Death,Iron Maiden
Fear Of The Dark,Iron Maiden
Iron Maiden,Iron Maiden
