Appelation,County,State,Area,isAVA
Alexander Valley,Sonoma,California,North Coast,Yes
Amador County,Amador,California,Sierra Foothills,No
Amador-Mendocino-Sonoma Counties,N/A,California,N/A,No
Anderson Valley,Mendocino,California,North Coast,Yes
Arroyo Grande Valley,San Luis Obispo,California,Central Coast,Yes
Atlas Peak,Napa,California,North Coast,Yes
Bennett Valley,Sonoma,California,North Coast,Yes
Calaveras County,Calaveras,California,Sierra Foothills,No
California,N/A,California,California,No
Carneros,Napa,California,North Coast,Yes
Central Coast,N/A,California,Central Coast,Yes
Chalk Hill,Sonoma,California,North Coast,Yes
Chalone,Monterey,California,Central Coast,Yes
Contra Costa County,Contra Costa,California,Santa Cruz Mountains,No
Dry Creek Valley,Sonoma,California,North Coast,Yes
Edna Valley,San Luis Obispo,California,Central Coast,Yes
Fiddletown,Amador,California,Sierra Foothills,Yes
Green Valley of Russian River Valley,Sonoma,California,North Coast,Yes
Guenoc Valley,Lake,California,North Coast,Yes
Happy Canyon of Santa Barbara,Santa Barbara,California,Central Coast,Yes
Howell Mountain,Napa,California,North Coast,Yes
Knights Valley,Sonoma,California,North Coast,Yes
Lake County,Lake,California,North Coast,No
Livermore Valley,Alameda,California,Santa Cruz Mountains,Yes
Lodi,San Joaquin,California,Central Valley,Yes
Mendocino County,Mendocino,California,North Coast,No
Monterey County,Monterey,California,Central Coast,No
Mount Harlan,San Benito,California,Central Coast,Yes
Napa Valley,Napa,California,North Coast,Yes
Napa-Sonoma counties,N/A,California,North Coast,No
North Coast,N/A,California,North Coast,Yes
Oakville,Napa,California,North Coast,Yes
Paso Robles,San Luis Obispo,California,Central Coast,Yes
Red Hills Lake County,Lake,California,North Coast,Yes
Rockpile,Sonoma,California,North Coast,Yes
Russian River Valley,Sonoma,California,North Coast,Yes
Rutherford,Napa,California,North Coast,Yes
San Luis Obispo County,San Luis Obispo,California,Central Coast,No
Santa Barbara County,Santa Barbara,California,Central Coast,No
Santa Cruz Mountains,N/A,California,Santa Cruz Mountains,Yes
Santa Lucia Highlands,Monterey,California,Central Coast,Yes
Santa Maria Valley,Santa Barbara,California,Central Coast,Yes
Santa Ynez Valley,Santa Barbara,California,Central Coast,Yes
Shenandoah Valley,Amador,California,Sierra Foothills,Yes
Sierra Foothills,N/A,California,Sierra Foothills,Yes
Solano County,Solano,California,North Coast,No
Sonoma Coast,Sonoma,California,North Coast,Yes
Sonoma County,Sonoma,California,North Coast,No
Sonoma Valley,Sonoma,California,North Coast,Yes
Sonoma-Lake Counties,N/A,California,North Coast,Yes
Spring Mountain District,Napa,California,North Coast,Yes
St. Helena,Napa,California,North Coast,Yes
Sta. Rita Hills,Santa Barbara,California,Central Coast,Yes
Stags Leap District,Napa,California,North Coast,Yes
Yolo County,Yolo,California,Central Valley,No
Yountville,Napa,California,North Coast,Yes
