Grape,Winery,Appelation,State,Name,Year,Price,Score,Cases,Drink
Zinfandel,Robert Biale,St. Helena,California,Old Kraft Vineyard,2008,44,93,275,now
Zinfandel,Chiarello Family,Napa Valley,California,Giana,2008,35,93,480,now
Zinfandel,Robert Biale,Napa Valley,California,Black Chicken,2008,40,91,2700,2012
Zinfandel,Robert Biale,Napa Valley,California,Napa Ranches,2008,38,89,525,now
Zinfandel,Robert Biale,St. Helena,California,Varozza Vineyard,2008,44,88,275,2012
Zinfandel,Pedroncelli,Dry Creek Valley,California,Mother Clone,2008,15,88,6000,now
Sauvignon Blanc,Altamura,Napa Valley,California,Sauvignon Blanc,2007,48,92,500,now
Sauvignon Blanc,Capture,Sonoma County,California,Les Pionniers,2009,36,92,360,now
Sauvignon Blanc,Brander,Santa Ynez Valley,California,Cuvee Nicolas,2009,25,91,377,now
Sauvignon Blanc,Capture,California,California,Tradition,2009,30,91,875,now
Sauvignon Blanc,John Anthony,Carneros,California,Church Vineyard,2009,28,91,354,now
Sauvignon Blanc,Grey Stack,Bennett Valley,California,Rosemarys Block Dry Stack Vineyard,2009,28,90,700,now
Sauvignon Blanc,Round Pond Estate,Rutherford,California,Sauvignon Blanc,2009,26,90,714,now
Sauvignon Blanc,Beckmen,Santa Ynez Valley,California,Sauvignon Blanc,2009,16,89,1500,now
Sauvignon Blanc,Beltane Ranch,Sonoma Valley,California,Sauvignon Blanc,2009,23,89,413,now
Sauvignon Blanc,Brander,Santa Ynez Valley,California,Mesa Verde Vineyard,2009,22,89,380,now
Sauvignon Blanc,Cade,Napa Valley,California,Sauvignon Blanc,2008,26,89,5200,now
Sauvignon Blanc,Jericho Canyon,Napa Valley,California,Sauvignon Blanc,2009,25,89,370,now
Sauvignon Blanc,John Anthony,Napa Valley,California,Sauvignon Blanc,2009,19,89,3098,now
Sauvignon Blanc,Kenzo,Napa Valley,California,Asatsuyu,2008,60,89,600,now
Sauvignon Blanc,Madrigal,Napa Valley,California,Estate,2009,25,89,200,now
Sauvignon Blanc,Joseph Phelps,St. Helena,California,Sauvignon Blanc,2008,32,89,2000,now
Sauvignon Blanc,Sbragia Family,Dry Creek Valley,California,Home Ranch,2009,20,89,1698,now
Sauvignon Blanc,Selene,Carneros,California,Hyde Vineyards,2009,27,89,750,now
Sauvignon Blanc,Brander,Santa Ynez Valley,California,Purisma Mountain,2009,25,88,260,now
Sauvignon Blanc,Cimarone,Happy Canyon of Santa Barbara,California,3CV Grassini Family Vineyards,2009,21,88,270,now
Sauvignon Blanc,Sbragia Family,Dry Creek Valley,California,Schmidt Ranch,2009,24,88,602,now
Sauvignon Blanc,Azur,Rutherford,California,Sauvignon Blanc,2009,24,87,1000,now
Sauvignon Blanc,Brander,Santa Ynez Valley,California,Cuvee Natalie,2009,18,87,857,now
